rank,feature,value,implementation_effort,privacy_security,pilot_essentiality,potential_time_savings,estimated_money_savings
1,Operational task flows,High,Medium,Low,High,"1,300-1,800+ hrs/yr","$18.2k-$25.2k+/yr"
2,Supervisor + trainer workflows,High,Medium,Low,High,"250-500 hrs/yr","$3.5k-$7.0k/yr"
3,Reference tools,High,Low,Low,High,"180-350 hrs/yr","$2.5k-$4.9k/yr"
4,Kitchen jobs references,High,Medium,Low,High,"60-140 hrs/yr + less food waste","$0.8k-$2.0k/yr + waste reduction"
5,Two-minute trainings,Medium,Low,Low,High,"60-120 hrs/yr","$0.8k-$1.7k/yr"
6,Pilot mode + access flow,Medium,Low,Low,High,"Indirect rollout savings","Indirect"
7,Daily shift reports,High,Medium,Medium,Medium,"210-390 hrs/yr","$2.9k-$5.5k/yr"
8,Points workflow,High,High,High,Medium,"280-640 hrs/yr","$3.9k-$9.0k/yr"
9,Announcements + manager tools,Medium,Medium,Medium,Medium,"60-160 hrs/yr","$0.8k-$2.2k/yr"
10,Login + profile + role gating,Low,Medium,High,Low,"Minimal direct savings","Minimal"
